	NF_NTS_1	NF_NTS_2	NF_NTS	NF_C_1	NF_C_2	NF_control
ATP5MC1P5	0	0	0	0	0	0
ATP5MG	111.019	145.396	75.822	89.0505	100.84	83.6708
ATP5PD	201.015	240.965	146.372	165.693	198.145	148.965
ATP6V0A2	5.35634	5.57308	4.97543	3.87816	3.67513	5.70207
ATP6V0E2	21.3009	20.7897	14.6677	20.1346	19.5454	20.1241
ATP6V1G3	0	0	0	0	0	0
CASP3	19.2001	20.6759	16.2825	16.8211	17.8421	17.9735
COX17	26.0774	35.0887	31.1052	20.5006	23.7958	32.8155
COX4I1	462.874	523.708	270.471	385.117	437.173	293.24
COX5B	186.377	293.919	112.523	158.316	170.407	117.089
COX6A1	289.14	389.649	256.526	262.153	283.927	244.029
COX6A2	0	0	0	0	0	0
COX6B1	381.312	438.554	241.326	305.539	334.011	261.15
COX6B2	0.0907079	0.0628357	0.0289876	0.204097	0.116426	0.298825
COX6C	99.5939	161.727	62.619	77.6737	83.9513	59.4037
COX7A1	158.487	285.813	72.7374	130.288	143.028	92.6419
COX7A2	185.721	434.696	135.368	155.863	184.832	150.059
COX8A	253.481	296.15	220.721	232.146	229.243	208.995
COX8C	0	0	0	0	0	0
CYC1	62.1481	80.3607	48.6394	55.2227	56.5333	47.017
ERO1A	16.5594	15.4709	14.731	13.9844	13.148	17.0279
ERO1B	2.04749	2.11121	2.07016	2.02162	1.98933	1.95685
FOXRED1	6.85373	8.52628	5.95404	6.66983	7.20841	5.808
FOXRED2	10.0976	8.26989	3.44848	7.5327	6.52985	6.9775
GFOD1	0.922651	0.812016	0.558935	0.651768	0.581845	0.666569
KEAP1	42.6573	40.8249	44.6126	36.1915	37.2007	31.0135
LHPP	16.8496	20.4119	10.7809	18.6107	19.2876	11.5468
LOC100420746	0	0	0	0	0	0
LOC100421868	0	0	0.0589159	0	0	0
LOC100505995	0	0	0	0	0	0
LOC100533659	0	0	0	0	0	0
LOC646709	0	0	0	0	0.0334483	0.0539126
MGC34796	0	0	0	0	0	0.0191144
NDUFA1	203.824	296.963	154.399	150.307	170.524	162.858
NDUFA11	296.782	368.315	172.916	256.789	255.795	193.406
NDUFA2	60.3787	83.0921	43.3311	47.3071	50.3076	40.8914
NDUFA3	0.723457	1.80147	0.480925	0.838987	0.488071	0.610451
NDUFA4	34.706	64.7677	36.2753	27.4716	34.5213	30.6622
NDUFA5	12.62	11.4315	9.72473	11.5316	12.1945	10.0085
NDUFA6	0	0	0	0	0	0
NDUFA7	44.6766	57.2761	38.0014	44.8277	46.2358	45.6892
NDUFA8	52.2436	67.9609	41.5955	45.8513	47.0884	43.4483
NDUFA9	5.79776	6.518	4.94974	4.84398	5.53981	5.0194
NDUFB1	164.727	340.17	116.823	135.003	172.907	128.405
NDUFB2	164.355	273.706	111.234	121.065	132.226	108.771
NDUFB3	55.8101	98.4889	60.7752	55.6736	61.4215	56.0378
NDUFB4	92.1435	102.38	70.1126	82.9841	81.9691	70.1538
NDUFB5	12.3673	14.8608	8.10629	12.3798	13.6064	9.02971
NDUFB6	17.3226	25.4541	14.7963	15.3834	17.4256	14.8764
NDUFB7	205.323	301.633	130.445	177.12	178.891	127.957
NDUFB8	152.2	230.977	117.984	125.262	137.286	108.942
NDUFB9	90.3483	104.617	59.8761	84.0856	92.5713	66.8719
NDUFC1	40.3024	46.3203	35.2939	40.5579	41.5012	36.8
NDUFC2	36.9672	42.7493	27.9316	27.2612	29.1568	26.775
NDUFS1	0	0	0	0	0	0
NDUFS2	65.3775	69.831	62.2193	62.5073	63.0005	59.2556
NDUFS3	0	0	0	0	0	0
NDUFS4	79.8825	123.509	59.9868	81.4845	95.7499	66.2686
NDUFS5	277.545	323.513	170.901	199.277	230.491	177.756
NDUFS6	91.6935	101.71	64.5145	73.6443	86.4487	74.844
NDUFS7	86.8238	108.062	46.0937	73.9221	71.1312	52.0895
NDUFS8	127.326	133.006	79.7173	91.8502	107.148	86.8163
NDUFV3	8.27793	8.04291	7.9367	6.7167	7.49438	8.47005
NFE2L2	62.3711	57.406	59.5149	63.3865	66.173	51.2432
PARP1	22.9704	21.9836	26.0088	24.4412	24.666	25.4148
PARP2	7.22657	7.33517	8.74449	6.563	7.45649	9.5913
PCDHA1	0.0327558	0.0513765	0.0795443	0.0171722	0	0.0564459
PPA2	22.5286	31.0318	17.1507	21.7293	24.0187	19.64
PYROXD1	2.87887	2.51654	7.88401	3.28061	2.47	5.7524
PYROXD2	20.4851	20.3006	26.266	29.1489	26.6407	29.6493
SDHA	55.4166	50.6153	44.4708	44.7137	47.4823	38.7873
SDHB	64.8445	73.4586	48.7161	55.7052	56.9353	52.9684
SDHC	56.2207	73.8605	45.5846	48.4079	54.9248	44.3168
TCIRG1	95.9128	94.6644	33.8128	74.5236	73.4342	35.1512
TOMM20	64.0314	60.3245	43.8731	63.7769	66.881	51.4965
TP53I3	44.6107	49.1265	46.2669	53.4316	58.6439	42.6382
VDAC1	106.616	104.846	85.9303	85.5341	85.9823	89.8677
